lng,lat
-62.2656061227,-38.7548316974
-62.282264373,-38.7312515178
-62.2672,-38.7417
-62.2697,-38.7364
-62.2762451901,-38.7244138851
-62.2916,-38.7022
-62.2711,-38.7289
-62.2815,-38.7126
-62.2601877452,-38.7333783645
-62.2716232685,-38.7157591469
-62.267942,-38.72041
-62.2915096872,-38.6839393271
-62.2628413988,-38.7197175107
-62.2751344048,-38.6997275099
-62.2717,-38.704
-62.2686,-38.7081
-62.2673916221,-38.7077694622
-62.262,-38.7144
-62.2578,-38.72
-62.2502,-38.7301
-62.2575061227,-38.7126334865
-62.2442264147,-38.7287916303
-62.2488200067,-38.7160301488
-62.230406881,-38.7354313836
-62.2295858307,-38.7281088077
-62.2169873472,-38.7387037614
-62.2453,-38.6976
-62.2441,-38.6986
-62.227778,-38.684722
-62.2114,-38.6987
-62.0847,-38.8816
-62.0750026257,-38.8848960437
-62.0703371914,-38.8866201809
-62.0860641003,-38.8601093113
-62.064109914,-38.878210624
-67.43295,-45.79548
-67.467625,-45.827235
-67.47829,-45.83598
-67.49884,-45.861
-67.479968,-45.861562
-67.47605,-45.8615
-67.532667,-45.870032
-67.50206,-45.8702
-67.4935,-45.8733
-67.51901,-45.87576
-67.525811,-45.882711
-67.53948,-45.88359
-67.56249,-45.9299
-64.315211,-36.634811
-64.3046,-36.6328
-64.29628,-36.6323
-64.2886,-36.6261
-64.28144,-36.62724
-64.2868,-36.62204
-64.291249,-36.618338
-64.29109,-36.61363
-64.30109,-36.60009
-64.280899,-36.604293
-64.270972,-36.603194
-62.21948576,-38.0990775629
-61.8926931421,-38.4843171628
-62.7704951764,-37.5461714544
-62.3546423971,-37.7621456725
-58.4692109,-34.6316975
-58.274778,-34.807041
-58.497733,-34.606446
-58.568523,-34.544654
-60.512711,-33.156124
-58.504,-34.6002
-58.469692,-34.630372
-58.4692321,-34.6306283
-60.220188,-33.331816
-58.519449,-34.586322
-58.4555196,-34.6423398
-58.456994,-34.640951
-58.4617314,-34.6366914
-58.458543,-34.639449
-58.4640708,-34.634479
-58.496709,-34.605713
-58.5326316,-34.5738643
-58.62767,-34.491603
-58.511689,-34.5915008
-58.550437,-34.55729
-58.4833332,-34.6158804
-58.3722024,-34.7146631
-58.530484,-34.574176
-58.5096,-34.5921
-58.7402,-34.3951
-58.486073,-34.61257
-58.4725229,-34.6243386
-58.6512228,-34.4692902
-58.4627288,-34.6325699
-58.738836,-34.395347
-58.49646,-34.602612
-58.3629215,-34.7212849
-58.475217,-34.620882
-58.363081,-34.720952
-58.494022,-34.604281
-58.4366933,-34.6548915
-58.4903978,-34.6072943
-58.555357,-34.550591
-58.500132,-34.598697
-58.4939129,-34.6040932
-58.491456,-34.606056
-58.352892,-34.729203
-58.575497,-34.532479
-58.554484,-34.550588
-58.7914597,-34.35006
-58.624077,-34.490438
-58.462808,-34.630258
-58.4642662,-34.6289482
-58.459408,-34.633156
-58.4754368,-34.6189821
-58.476016,-34.6182691
-58.486038,-34.609409
-58.462242,-34.630139
-58.575409,-34.531045
-58.4286401,-34.6594782
-58.494608,-34.601074
-58.4525728,-34.6380873
-58.5525115,-34.5504223
-58.563095,-34.541198
-58.4787121,-34.6147863
-58.497333,-34.598396
-58.500059,-34.59579
-58.738736,-34.391595
-58.480997,-34.612145
-58.502323,-34.593274
-58.3914,-34.6914
-58.4976429,-34.5971373
-58.4818952,-34.6107613
-58.7928537,-34.3456017
-58.4836744,-34.6085744
-58.4855976,-34.6064336
-58.475326,-34.615452
-58.4608,-34.6282
-58.464622,-34.624494
-58.489299,-34.602094
-58.7916233,-34.3444298
-58.4418066,-34.6432221
-58.4699422,-34.6182412
-58.491826,-34.598928
-58.5045122,-34.5876628
-58.4111022,-34.6699182
-58.45817,-34.627423
-58.406289,-34.673516
-58.789369,-34.344292
-58.4483758,-34.6355448
-58.452608,-34.631045
-58.4978318,-34.5911227
-58.4612086,-34.6230067
-58.467454,-34.617182
-58.4569877,-34.6262843
-58.6171,-34.4866
-58.477492,-34.6073757
-58.501809,-34.585933
-58.4267385,-34.6519788
-58.453314,-34.6281676
-59.6679614,-33.6787416
-58.4521,-34.628516
-59.6685,-33.6778
-58.5102555,-34.5773569
-58.4358917,-34.6424371
-58.4693123,-34.6121897
-58.464286,-34.616074
-58.228639,-34.829305
-58.4415417,-34.6358296
-58.386613,-34.684697
-58.484575,-34.597497
-58.4478,-34.6295
-58.350278,-34.716667
-58.4196788,-34.654144
-58.4996,-34.5835
-58.6257,-34.4745
-58.3806075,-34.6887773
-58.450161,-34.626522
-58.4740289,-34.6052957
-58.4563112,-34.6207181
-58.451248,-34.624687
-58.279265,-34.779585
-58.4629,-34.6143
-58.4980504,-34.5831225
-58.4675,-34.6096
-58.4927966,-34.5873745
-58.4383403,-34.6351629
-58.4466235,-34.6273661
-58.4493,-34.6248
-58.5032059,-34.5773372
-58.385221,-34.681712
-58.4608499,-34.6144399
-58.4141552,-34.6554344
-58.458185,-34.61632
